filename,arrow_d,arrow_l,arrow_r,arrow_u,diamond,rectangle
000050_jpg.rf.6a2d6cafb79e382b142b15dd8cc25d9a.jpg,1,1,1,1,1,1
000019_jpg.rf.fc49c2fc9dd3cc5f8dd80736d6190573.jpg,1,0,0,0,1,1
000015_jpg.rf.887329c460fd1e948a41e1963a8c37f0.jpg,1,1,1,0,1,1
000029_jpg.rf.90242dd8144d6ec8c111837ffccbbb30.jpg,1,1,1,0,1,1
000021_jpg.rf.6e63da52c04dcaf7063174a81655f167.jpg,1,0,1,0,1,1
000016_jpg.rf.ae561630d67871c35637f9acd97c4840.jpg,1,0,1,0,1,1
000089_jpg.rf.320988adea14f4513a0ee02ba6995644.jpg,1,1,1,0,1,1
000010_jpg.rf.3e0714b22389305ef20bc8216bef02ad.jpg,1,0,0,0,1,1
000106_jpg.rf.75f4937274612ffef16bdb8ab049ed78.jpg,1,1,1,1,1,1
000063_jpg.rf.c0220f4d0dbffe97649152d3bb14282f.jpg,0,0,0,0,0,1
000074_jpg.rf.8c6987c2ff3c7365d313b40702605839.jpg,1,1,0,0,1,1
000011_jpg.rf.2e6bcf0a8d997e8bdba37f3ec58a1cca.jpg,1,0,0,0,1,1
000079_jpg.rf.ef07711aac6ae76879334a955a23c731.jpg,1,1,1,1,1,1
000034_jpg.rf.8671ba8ec7b574d0a5729726ddc19375.jpg,1,0,0,0,0,1
000097_jpg.rf.7f01abe516d7a0b84bd753e3044baa65.jpg,1,0,0,0,1,1
000042_jpg.rf.0a2ddf49ade058cb8b156874ef078454.jpg,1,0,1,0,1,1
000080_jpg.rf.30cb182e90f34b1bd8cdd753caaa947c.jpg,1,1,1,0,1,1
000135_jpg.rf.0447d97596625f73f68c4d3349d6724a.jpg,0,0,0,0,0,1
000117_jpg.rf.7b4f762bd4847157ea6bc68384d9d904.jpg,1,0,1,0,1,1
000031_jpg.rf.10332d3ce5413c4c82ff37181670cc30.jpg,1,1,1,1,1,1
000132_jpg.rf.1bf372a0c334f0dbeb83068478e7d40f.jpg,1,1,0,0,1,1
000069_jpg.rf.13a27c87f7c911f158c3059a8f8522eb.jpg,1,0,0,0,1,1
000030_jpg.rf.b9cbb05262f5dc50b48624a392d98dc6.jpg,1,1,1,0,1,1
000038_jpg.rf.1c707cc2cbed27af3483bfaf15395b0d.jpg,1,1,1,1,1,1
000043_jpg.rf.1e6aa7ed761c77c527081a2b42e6ecd2.jpg,1,0,0,0,0,1
000006_jpg.rf.47005539690e65a086021ef343e7c79b.jpg,1,1,1,0,1,1
000115_jpg.rf.a66d7b000a13faaf2167c02ceabcbbee.jpg,1,1,1,1,0,1
000004_jpg.rf.0cdfd1b399e706941781cc61385b1b25.jpg,1,0,1,0,1,1
000041_jpg.rf.06b16e9a40a8d12433176e0480129288.jpg,1,1,0,0,1,1
000102_jpg.rf.eb844a70f0bbf4ca02acef2702a4fecf.jpg,1,1,1,0,1,1
000088_jpg.rf.3ae0af37952bf29e075b5da3b7d0d144.jpg,1,0,0,1,1,1
000108_jpg.rf.d1064de8728d6efb3b34a3242900074f.jpg,1,0,1,1,1,1
000116_jpg.rf.7033ccde8098b427580bfca0ecba222a.jpg,1,0,1,0,1,1
000023_jpg.rf.ea94d7674f68846a33ce742c80a27cf5.jpg,1,0,1,0,1,1
000027_jpg.rf.f632a63fb8721ab605dfbd149bf06b74.jpg,1,0,1,0,1,1
000040_jpg.rf.17421bed70e8a52eb65314ca01f9bbd0.jpg,1,1,1,0,1,1
000060_jpg.rf.fe0a44b6697b433a21589ebbddb2179f.jpg,1,1,1,0,1,1
000151_jpg.rf.1c4604713815d21909498fd63964922a.jpg,1,1,1,1,1,1
000113_jpg.rf.3fdf9af58ffd6d2c0346310080c6f355.jpg,1,0,0,0,1,1
000077_jpg.rf.d7a3781832011bdb110b8e313a8b22b4.jpg,1,1,0,0,1,1
000091_jpg.rf.764285dfd812bf5a5a7d0a4986acebd2.jpg,1,1,1,0,1,1
000073_jpg.rf.81c877bc265c81d181ad14b087702855.jpg,1,1,1,0,1,1
000052_jpg.rf.c2488caaf264edec126c6e33d135c644.jpg,1,0,0,0,1,1
000090_jpg.rf.6836117554ea25084d35bfbe01c4ad53.jpg,1,1,1,1,1,1
000067_jpg.rf.b7f09b1889125c37cab19f9d953d0c2a.jpg,1,0,1,0,0,1
000094_jpg.rf.b49b52b66f1e58e6cd36c5ebfad13594.jpg,1,0,1,0,1,1
000066_jpg.rf.bb01affe858644b45f4ab00354988d92.jpg,0,0,0,0,0,1
000082_jpg.rf.6be251eadee9ffd345d65302f030a6ab.jpg,1,0,1,0,0,1
000118_jpg.rf.d809eebcb047c3574aaa558cd1a713a6.jpg,1,1,0,0,1,1
000026_jpg.rf.fae2c7857b77147420bfcf55d9c57781.jpg,1,0,1,1,1,1
000046_jpg.rf.ec41edef486403d48ceba828ddef1cd7.jpg,1,1,1,0,1,1
000081_jpg.rf.053977405c7f7e55b83062b6f68aecdc.jpg,1,1,1,0,1,1
000087_jpg.rf.9e916b617aefa3e9ed019e4a107b048b.jpg,1,1,1,0,0,1
000130_jpg.rf.3bb1cbf1e3d754fdfb52b60395093cef.jpg,1,1,1,0,0,1
000056_jpg.rf.193933694af3e3168d14418eab526c90.jpg,1,1,1,0,1,1
000068_jpg.rf.83ae60c9380e10fd11a50d257848291e.jpg,1,0,1,0,1,1
000059_jpg.rf.31f867859624a0b659888cfaac0da061.jpg,1,1,1,0,1,1
000075_jpg.rf.2aaa43da4f1c78d3b5a558aa1963ca94.jpg,1,0,0,0,1,1
000078_jpg.rf.247589d445dc28392245d44c91368f8f.jpg,0,0,1,0,0,1
000149_jpg.rf.6450494873c7cbc004448e294b89c800.jpg,0,0,0,0,1,1
000111_jpg.rf.50e8d68244d9fbd52915fb8c213322b8.jpg,1,0,1,0,1,1
000018_jpg.rf.7680f104d05d6801efc110cf7cad94db.jpg,1,1,1,0,1,1
000005_jpg.rf.8b07891d534e0e272f9ebf02e1ea6c72.jpg,1,1,1,0,1,1
000017_jpg.rf.1dfe5f2cb95774c10cb782e4f1d6cb00.jpg,1,0,0,0,1,1
